8 56
4 6 223606.79774997898
4 7 100000.0
0 1 200000.0
0 6 200000.0
7 3 141421.35623730952
2 6 100000.0
7 6 200000.0
3 2 200000.0
7 4 100000.0
5 4 141421.35623730952
2 4 200000.0
4 5 141421.35623730952
2 5 141421.35623730952
0 3 223606.79774997898
5 0 223606.79774997898
6 4 223606.79774997898
0 4 223606.79774997898
3 7 141421.35623730952
5 2 141421.35623730952
3 1 141421.35623730952
6 7 200000.0
0 5 223606.79774997898
2 1 223606.79774997898
7 0 282842.71247461904
6 5 100000.0
7 2 223606.79774997898
7 5 100000.0
5 1 223606.79774997898
4 0 223606.79774997898
1 2 223606.79774997898
3 5 223606.79774997898
2 0 100000.0
4 2 200000.0
0 2 100000.0
6 2 100000.0
3 4 100000.0
0 7 282842.71247461904
4 1 100000.0
1 4 100000.0
5 3 223606.79774997898
1 0 200000.0
1 3 141421.35623730952
2 7 223606.79774997898
3 0 223606.79774997898
1 7 200000.0
6 1 282842.71247461904
6 3 223606.79774997898
4 3 100000.0
1 6 282842.71247461904
5 6 100000.0
5 7 100000.0
1 5 223606.79774997898
3 6 223606.79774997898
7 1 200000.0
2 3 200000.0
6 0 200000.0
