8 56
0 3 282842.712475
6 2 141421.356237
2 4 200000.0
5 1 223606.79775
2 1 100000.0
0 4 282842.712475
5 3 200000.0
3 5 200000.0
1 7 223606.79775
6 5 141421.356237
7 5 223606.79775
3 6 223606.79775
5 4 100000.0
5 2 200000.0
5 6 141421.356237
7 6 100000.0
4 7 282842.712475
4 3 100000.0
7 2 223606.79775
7 3 282842.712475
0 1 141421.356237
3 4 100000.0
1 4 223606.79775
1 6 223606.79775
5 7 223606.79775
2 5 200000.0
1 3 141421.356237
3 7 282842.712475
4 2 200000.0
1 5 223606.79775
0 2 223606.79775
3 0 282842.712475
1 2 100000.0
7 0 100000.0
2 7 223606.79775
4 5 100000.0
4 6 223606.79775
6 7 100000.0
0 5 223606.79775
6 1 223606.79775
2 3 100000.0
7 4 282842.712475
0 6 200000.0
0 7 100000.0
6 0 200000.0
7 1 223606.79775
2 0 223606.79775
5 0 223606.79775
6 3 223606.79775
3 1 141421.356237
2 6 141421.356237
4 0 282842.712475
3 2 100000.0
6 4 223606.79775
4 1 223606.79775
1 0 141421.356237
